INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;ISIU_Area_IRIS_Km2;ISIU_Indice_1_PopLog_per_Km2_Normalise;ISIU_Indice_2_Volume_Batiment_Normalise;ISIU_Indice_3_Green_Space_Ratio_Normalise;ISIU_Indice_4_Shannon_Diversity_Normalise;ISIU_Indice_5_Transport_Roads_Ratio_Normalise;ISIU_Indice_6Normalise;Dimension_1_Humaine;Dimension_2_Qualite_Vie;Dimension_3_Accessibilite;ISIU_Globale_Normalise
13214;Marseille 14e Arrondissement;404;132140404;Château Vento;H;0.538;0;0.026325288;0.047;0.872;0.005;0.137;0.026325288;0.919;0.142;0.485465561
13212;Marseille 12e Arrondissement;305;132120305;Sénafrica;H;0.439;0;0.031214941;0.048;0.856;0.005;0.122;0.031214941;0.904;0.127;0.473811882
13207;Marseille 7e Arrondissement;702;132070702;Corderie;H;0.112;0.001;0.191395504;0.232;0.91;0.011;0.247;0.192395504;1.142;0.258;0.719867967
13209;Marseille 9e Arrondissement;102;132090102;Morgiou-Hauts de Mazargues;H;0.986;0;0.020365715;0.001;0.659;0.004;0.056;0.020365715;0.66;0.06;0.32444209
13215;Marseille 15e Arrondissement;502;132150502;Cap Pinède;A;0.417;0;0.090395181;0.008;0.861;0.003;0.131;0.090395181;0.869;0.134;0.48828259
13215;Marseille 15e Arrondissement;301;132150301;Oddo;H;0.168;0.001;0.10008562;0;0.662;0.007;0.111;0.10108562;0.662;0.118;0.389750009
13215;Marseille 15e Arrondissement;302;132150302;Denis Papin;H;0.286;0;0.081803339;0.001;0.744;0.004;0.114;0.081803339;0.745;0.118;0.419321316
13215;Marseille 15e Arrondissement;303;132150303;Bernabo;H;0.226;0;0.062327157;0.096;0.917;0.006;0.1;0.062327157;1.013;0.106;0.529091701
13214;Marseille 14e Arrondissement;502;132140502;Fontobscure;H;0.525;0;0.035874839;0.221;0.961;0.005;0.172;0.035874839;1.182;0.177;0.628198893
13213;Marseille 13e Arrondissement;1001;132131001;Saint-Paul Corot;H;0.142;0;0.048906815;0.381;0.854;0.008;0.179;0.048906815;1.235;0.187;0.66348523
13210;Marseille 10e Arrondissement;408;132100408;Mont Rouvière;D;1.56;0;0.002117916;0.019;0.387;0.001;0.013;0.002117916;0.406;0.014;0.176743716
13206;Marseille 6e Arrondissement;301;132060301;Bergers;H;0.078;0.001;0.189673731;0;0.734;0.008;0.241;0.190673731;0.734;0.249;0.525539756
13206;Marseille 6e Arrondissement;302;132060302;Tilsit-Blanqui;H;0.089;0.001;0.179741761;0;0.578;0.011;0.245;0.180741761;0.578;0.256;0.451779643
13211;Marseille 11e Arrondissement;301;132110301;Les Camoins;H;2.858;0;0.014385071;0.009;0.783;0.003;0.049;0.014385071;0.792;0.052;0.379214714
13211;Marseille 11e Arrondissement;401;132110401;Éoures;H;1.368;0;0.010343477;0.004;0.558;0.002;0.014;0.010343477;0.562;0.016;0.253888775
13005;Aubagne;702;130050702;Garlaban-Royante;H;0.002;0.008;0.011082662;0;0.086;0.236;0.269;0.019082662;0.086;0.505;0.263977901
13211;Marseille 11e Arrondissement;801;132110801;Saint-Menet;H;1.89;0;0.010941979;0.114;0.817;0.003;0.04;0.010941979;0.931;0.043;0.437949605
13211;Marseille 11e Arrondissement;901;132110901;La Treille;H;1.609;0;0.008253806;0.001;0.637;0.002;0.016;0.008253806;0.638;0.018;0.289118656
13106;Septèmes-les-Vallons;101;131060101;Fabregoules-Caillols-Rougière-Peyrards;H;0.006;0.005;0.004420601;0;0.261;0.126;0.975;0.009420601;0.261;1.101;0.617313812
13202;Marseille 2e Arrondissement;303;132020303;Hôtel-Dieu;H;0.091;0.001;0.225832861;0.014;0.68;0.022;0.243;0.226832861;0.694;0.265;0.531182792
13208;Marseille 8e Arrondissement;501;132080501;La Plage;H;0.576;0;0.04529681;0.023;0.699;0.004;0.07;0.04529681;0.722;0.074;0.371284075
13208;Marseille 8e Arrondissement;804;132080804;Milan-Gabès;H;0.265;0;0.054872641;0.325;0.905;0.006;0.113;0.054872641;1.23;0.119;0.63237476
13205;Marseille 5e Arrondissement;303;132050303;Arago-Brochier;H;0.077;0.001;0.157284604;0;0.595;0.008;0.223;0.158284604;0.595;0.231;0.437644518
13209;Marseille 9e Arrondissement;702;132090702;Sormiou-Cayolle;H;0.453;0;0.038005139;0.008;0.797;0.005;0.041;0.038005139;0.805;0.046;0.393425447
13213;Marseille 13e Arrondissement;901;132130901;Lilas-Oliviers;H;0.059;0.001;0.093420749;0;0.805;0.006;0.176;0.094420749;0.805;0.182;0.482725272
13212;Marseille 12e Arrondissement;303;132120303;Plateau de Montolivet;H;0.691;0;0.029247594;0.068;0.855;0.005;0.128;0.029247594;0.923;0.133;0.484501305
13107;Simiane-Collongue;102;131070102;Hameau;H;0.001;0.03;0;0;0;0.177;0;0.03;0;0.177;0.076907781
13206;Marseille 6e Arrondissement;602;132060602;Vauban-Fénelon;H;0.089;0.001;0.205776045;0.008;0.61;0.008;0.256;0.206776045;0.618;0.264;0.486138855
13206;Marseille 6e Arrondissement;604;132060604;Martinique;H;0.137;0.001;0.118739252;0.162;0.855;0.009;0.221;0.119739252;1.017;0.23;0.615141205
13210;Marseille 10e Arrondissement;103;132100103;Saint-Jean-Curtel;H;0.163;0.001;0.140000481;0;0.753;0.008;0.109;0.141000481;0.753;0.117;0.45004332
13209;Marseille 9e Arrondissement;801;132090801;Métro Dromel;H;0.433;0;0.054482029;0.058;0.907;0.006;0.131;0.054482029;0.965;0.137;0.517561111
13209;Marseille 9e Arrondissement;802;132090802;La Pauline;H;0.087;0.001;0.067842707;0.135;0.856;0.008;0.124;0.068842707;0.991;0.132;0.533971954
13203;Marseille 3e Arrondissement;306;132030306;Bellevue-Pyat;H;0.028;0.001;0.11386406;0.043;0.868;0.018;0.166;0.11486406;0.911;0.184;0.542335639
13208;Marseille 8e Arrondissement;1004;132081004;Centre Vie Bonneveine;A;0.159;0;0.100742942;0.032;0.828;0.01;0.119;0.100742942;0.86;0.129;0.48658759
13208;Marseille 8e Arrondissement;102;132080102;Hambourg Sablier;H;0.385;0;0.049572642;0.112;0.933;0.006;0.1;0.049572642;1.045;0.106;0.538023505
13208;Marseille 8e Arrondissement;1002;132081002;Goumier-Berneix;H;0.348;0;0.045673987;0.053;0.76;0.007;0.084;0.045673987;0.813;0.091;0.421581777
13212;Marseille 12e Arrondissement;406;132120406;Gasquy-Hugues-Garlaban;H;0.33;0;0.04170263;0.015;0.733;0.005;0.153;0.04170263;0.748;0.158;0.420666873
13208;Marseille 8e Arrondissement;905;132080905;Huveaune-Clot-Bey;A;0.346;0;0.05925157;0.277;0.855;0.005;0.12;0.05925157;1.132;0.125;0.591709939
13208;Marseille 8e Arrondissement;901;132080901;La Sérane;H;0.344;0;0.045402668;0.198;0.928;0.004;0.118;0.045402668;1.126;0.122;0.581105795
13209;Marseille 9e Arrondissement;804;132090804;Square Michelet;H;0.175;0;0.055668231;0.089;0.945;0.008;0.154;0.055668231;1.034;0.162;0.561736899
13215;Marseille 15e Arrondissement;701;132150701;La Solidarité;H;0.391;0;0.025136189;0.018;0.653;0.006;0.023;0.025136189;0.671;0.029;0.317374088
13215;Marseille 15e Arrondissement;702;132150702;Kalliste;H;0.21;0;0.02878318;0.012;0.828;0.003;0.032;0.02878318;0.84;0.035;0.400283916
13106;Septèmes-les-Vallons;103;131060103;Castors-Bedoule;H;0;1;0;0;0;1;0.045;1;0;1.045;0.929921104
13106;Septèmes-les-Vallons;104;131060104;Notre-Dame;H;0;0.09;0.094141176;0;0.056;0.239;0.201;0.184141176;0.056;0.44;0.296491963
